Latitude,Longitude
-37.81349283433532,144.952370512958
-37.815019320908405,144.95332436763363
-37.816052130044845,144.95364012907473
-37.81476744869588,144.9539843584047
-37.81575117141896,144.95562154794905
-37.81569323825443,144.9572805367219
-37.81732905546246,144.9578120459522
-37.81781506646346,144.95676979199712
-37.81911556990804,144.95559881343598
-37.81833088555529,144.95720765477887
-37.81890526031417,144.9558545126443
-37.81807858626196,144.95717746767428
-37.81727995075192,144.95777928269743
-37.81727995075192,144.95777928269743
-37.8183984248028,144.95618193621107
-37.81949430222888,144.95477927706963
-37.81949430222888,144.95477927706963
-37.81932065405122,144.95576408482265
-37.81932065405122,144.95576408482265
-37.81932065405122,144.95576408482265
-37.81932065405122,144.95576408482265
-37.817481774929504,144.95582829989658
-37.817936661720125,144.95707809108222
-37.81746819924849,144.9588264168278
-37.81746819924849,144.9588264168278
-37.81746819924849,144.9588264168278
-37.81746819924849,144.9588264168278
-37.81746819924849,144.9588264168278
-37.81703839500715,144.9598389721666
-37.81703839500715,144.9598389721666
-37.815915505843236,144.96051367204473
-37.815915505843236,144.96051367204473
-37.815915505843236,144.96051367204473
-37.815915505843236,144.96051367204473
-37.81467044885254,144.96148641717573
-37.81467044885254,144.96148641717573
-37.81467044885254,144.96260641717572
-37.81467044885254,144.96260641717572
-37.81501775192087,144.96139522743883
-37.81586733444879,144.96034608039085
-37.816942981460485,144.95886557929114
-37.816942981460485,144.95886557929114
-37.81602669127822,144.96051861053763
-37.816601452114185,144.95928603194727
-37.815495195380734,144.95966694668797
-37.815495195380734,144.95966694668797
-37.81660370789758,144.95902694668797
-37.81660370789758,144.95902694668797
-37.81660370789758,144.95902694668797
-37.81660370789758,144.95902694668797
-37.81660370789758,144.95902694668797
-37.815357823861234,144.95943175895061
-37.81696894933173,144.95960109506112
-37.81795642855558,144.95824194651055
-37.81795642855558,144.95824194651055
-37.81674510249005,144.95933262939892
-37.81595510249005,144.96070094953689
-37.81711854806358,144.95931440909484
-37.81711854806358,144.95931440909484
-37.81789193948257,144.95765586584457
-37.81789193948257,144.95765586584457
-37.81789193948257,144.95765586584457
-37.81686333872173,144.95827391153446
-37.81686333872173,144.95827391153446
-37.81810839571243,144.95730116640345
-37.8189415931386,144.95606590042036
-37.81962983583905,144.95465479376767
-37.81962983583905,144.95465479376767
-37.81962983583905,144.95465479376767
-37.81964763729362,144.95567463841672
-37.818102819106386,144.95589174845423
-37.81658915777339,144.95626914661136
-37.81819296951693,144.95545196371182
-37.81877867028296,144.95676746917084
-37.81877867028296,144.95676746917084
-37.81722892677497,144.95736235996708
-37.81705774386079,144.95858038969163
-37.81705774386079,144.95858038969163
-37.81705774386079,144.95858038969163
-37.81705774386079,144.95858038969163
-37.81579788014581,144.96008183680016
-37.81579788014581,144.96008183680016
-37.81579788014581,144.96008183680016
-37.81579788014581,144.96008183680016
-37.81579788014581,144.96008183680016
-37.81669674589978,144.95893134109988
-37.81669674589978,144.95893134109988
-37.81723148237007,144.95706649340977
-37.81606433243127,144.95714810848406
-37.816772883969136,144.9578818350804
-37.816772883969136,144.9595218350804
-37.816772883969136,144.9595218350804
-37.816772883969136,144.9595218350804
-37.815874551710024,144.9602236891623
-37.816305349292456,144.95915742772954
-37.816893623938974,144.9575411564218
-37.81780951588282,144.95811346922716
-37.81667669876822,144.95956340901378
-37.81667669876822,144.95956340901378
-37.81635113061376,144.9605089275894
