Latitude,Longitude
-37.81349283433532, 144.952370512958
-37.814498699722236, 144.9525884126076
-37.81571872754124, 144.95314560128986
-37.81622214028631, 144.95250831084735
-37.816413917716226, 144.95493601462402
-37.81839164193176, 144.95463245193875
-37.82049765084205, 144.9545995826755
-37.82070283599287, 144.95633693773874
-37.82040965055669, 144.9582012312439
-37.819089286463104, 144.96047231011977
-37.818891008402275, 144.95966962872984
-37.818303586785966, 144.95931701346447
-37.81707502067743, 144.9585849328675
-37.81646971746681, 144.95841803306195
-37.81284953337776, 144.9569461362303
-37.81169155762518, 144.95780586909825
-37.81087785802942, 144.95967263798644
-37.8109965107349, 144.96109952232385
-37.81189493590788, 144.96219385481243
-37.81320867073748, 144.96319167659212
-37.814310580788415, 144.96293420157255
-37.816304550753635, 144.96385529531923
-37.817188535527265, 144.96503293125204
-37.81748863606041, 144.96616689868821
-37.81712757588793, 144.9671085390494
-37.8167500137124, 144.96700990896042
-37.81714608974048, 144.96766572847005
-37.81681981587577, 144.96888113762972
-37.816069552183286, 144.9693623672424
-37.814974883135406, 144.96953783270118
-37.81354652408749, 144.96829070594885
-37.812156480697, 144.96878417431304
-37.80993366111987, 144.9666882835671
-37.808287058778276, 144.96704335943045
-37.80842415560895, 144.96815394155817
-37.80763328515803, 144.97139469184668
-37.80799504368334, 144.9711917435944
-37.80891244412939, 144.97175697863287
-37.81030246530342, 144.97253288122627
-37.81076711970403, 144.972653810425
-37.811870883851924, 144.97324707086594
-37.81399769089991, 144.97424227185962
-37.81500111599402, 144.97453703961503
-37.815306530465016, 144.97364378778138
-37.815694589246995, 144.97254652746614
-37.81499911304782, 144.9724221311962
-37.8141410001165, 144.97182610415985
-37.81325526997946, 144.97149887207758
-37.81248646236483, 144.97101157426678
-37.81164541794943, 144.9707409172365
-37.810790107305934, 144.9703214031315
-37.80930874311497, 144.9690243504711
-37.80959189870236, 144.9674332800462
-37.81018013095823, 144.96602121075227
-37.810504435355675, 144.96470854828627
-37.81116365658685, 144.96469048546425
-37.81320637985242, 144.96535560674235
-37.81462184117621, 144.96552726562075
-37.81674929096759, 144.96690053821396
-37.816562793526636, 144.96567748598318
-37.81722214346075, 144.96355143278447
-37.81783441229462, 144.96264286270787
-37.81776972494486, 144.96166586308888
-37.8167691515678, 144.9612497390358
-37.81602081230508, 144.96135351357208
-37.81547203013765, 144.9612948568829
-37.81419937917047, 144.96071214213197
-37.8133274819714, 144.9597679750517
-37.81242706204194, 144.95839303409454
-37.81267083856179, 144.95662692397832
-37.8130971189747, 144.9554942695929
-37.81344180763557, 144.95479139965965
-37.81381223013625, 144.9543703586261
-37.81427529272294, 144.95458836866067
-37.81484317257539, 144.9548163535941
-37.81519817266739, 144.9547590648705
-37.815891141487356, 144.95511941336684
-37.81677846548065, 144.95555246399957
-37.81795086616323, 144.95624022127052
-37.818286671103024, 144.95615179927452
-37.819206242531806, 144.9566453110385
-37.8194908310632, 144.95561872684084





